Date : 2023-01-25 14:49:04
Directory : c:\laragon\www\equizzy
Total : 145 files,  22494 codes, 504 comments, 1631 blanks, all 24629 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\laragon\www\equizzy\public\build\css\app.css                                                           | CSS        |      1,778 |        131 |        105 |      2,014 |
| c:\laragon\www\equizzy\public\build\img\EquizzyAppIcon.svg                                                | XML        |          3 |          0 |          0 |          3 |
| c:\laragon\www\equizzy\public\build\img\createPoll.svg                                                    | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\img\undraw_about.svg                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\img\undraw_analitics.svg                                              | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\img\undraw_createPoll.svg                                             | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\js\answers\chart.js                                                   | JavaScript |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\js\answers\getAnswers.js                                              | JavaScript |         49 |          9 |         17 |         75 |
| c:\laragon\www\equizzy\public\build\js\answers\rate-poll.js                                               | JavaScript |          0 |          0 |          1 |          1 |
| c:\laragon\www\equizzy\public\build\js\answers\ratePoll.js                                                | JavaScript |         39 |          0 |         25 |         64 |
| c:\laragon\www\equizzy\public\build\js\app.js                                                             | JavaScript |         56 |         10 |         28 |         94 |
| c:\laragon\www\equizzy\public\build\js\crudOptionPolls\createOption.js                                    | JavaScript |         38 |          0 |         13 |         51 |
| c:\laragon\www\equizzy\public\build\js\crudOptionPolls\deleteOption.js                                    | JavaScript |         19 |          0 |          9 |         28 |
| c:\laragon\www\equizzy\public\build\js\crudOptionPolls\editOption.js                                      | JavaScript |         31 |          0 |          9 |         40 |
| c:\laragon\www\equizzy\public\build\js\crudOptionPolls\listOption.js                                      | JavaScript |         24 |          2 |         16 |         42 |
| c:\laragon\www\equizzy\public\build\js\crudOptionsQuestion\createOption.js                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\createQuestion.js                                | JavaScript |         35 |          2 |          6 |         43 |
| c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\deleteQuestion.js                                | JavaScript |         31 |          0 |          4 |         35 |
| c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\editQuestion.js                                  | JavaScript |         54 |          0 |         18 |         72 |
| c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\menuOptionsQuestions.js                          | JavaScript |         38 |          7 |         27 |         72 |
| c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\questionEventManager.js                          | JavaScript |         38 |         10 |         27 |         75 |
| c:\laragon\www\equizzy\public\build\js\crudQuestionPolls\questionManager.js                               | JavaScript |         38 |         10 |         27 |         75 |
| c:\laragon\www\equizzy\public\build\js\indexPollsCarrousel.js                                             | JavaScript |         21 |          0 |          3 |         24 |
| c:\laragon\www\equizzy\public\build\js\menuOptionsMyPolls.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\js\navbarHome.js                                                      | JavaScript |         13 |          1 |          2 |         16 |
| c:\laragon\www\equizzy\public\build\js\navbarPollsResponsive.js                                           | JavaScript |          7 |          0 |          3 |         10 |
| c:\laragon\www\equizzy\public\build\js\polls\changePollVisibility.js                                      | JavaScript |         35 |          2 |         17 |         54 |
| c:\laragon\www\equizzy\public\build\js\polls\menuOptionsMyPolls.js                                        | JavaScript |         11 |          0 |          5 |         16 |
| c:\laragon\www\equizzy\public\build\js\polls\menuOptionsQuestions.js                                      | JavaScript |         28 |          5 |         19 |         52 |
| c:\laragon\www\equizzy\public\build\js\polls\ocultActiveMenusListener.js                                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\public\build\js\polls\textAreaCounter.js                                           | JavaScript |         15 |          0 |          5 |         20 |
| c:\laragon\www\equizzy\public\build\js\principalPollsCarrousel.js                                         | JavaScript |         25 |          0 |          1 |         26 |
| c:\laragon\www\equizzy\public\index.php                                                                   | PHP        |         51 |         16 |         17 |         84 |
| c:\laragon\www\equizzy\src\img\createPoll.svg                                                             | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\img\undraw_about.svg                                                           | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\img\undraw_analitics.svg                                                       | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\img\undraw_createPoll.svg                                                      | XML        |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\js\answers\getAnswers.js                                                       | JavaScript |         49 |          9 |         17 |         75 |
| c:\laragon\www\equizzy\src\js\answers\ratePoll.js                                                         | JavaScript |         39 |          0 |         25 |         64 |
| c:\laragon\www\equizzy\src\js\app.js                                                                      | JavaScript |         56 |         10 |         28 |         94 |
| c:\laragon\www\equizzy\src\js\crudOptionPolls\createOption.js                                             | JavaScript |         38 |          0 |         13 |         51 |
| c:\laragon\www\equizzy\src\js\crudOptionPolls\deleteOption.js                                             | JavaScript |         19 |          0 |          9 |         28 |
| c:\laragon\www\equizzy\src\js\crudOptionPolls\editOption.js                                               | JavaScript |         31 |          0 |          9 |         40 |
| c:\laragon\www\equizzy\src\js\crudOptionPolls\listOption.js                                               | JavaScript |         24 |          2 |         16 |         42 |
| c:\laragon\www\equizzy\src\js\crudQuestionPolls\createQuestion.js                                         | JavaScript |         35 |          2 |          6 |         43 |
| c:\laragon\www\equizzy\src\js\crudQuestionPolls\deleteQuestion.js                                         | JavaScript |         31 |          0 |          4 |         35 |
| c:\laragon\www\equizzy\src\js\crudQuestionPolls\editQuestion.js                                           | JavaScript |         54 |          0 |         18 |         72 |
| c:\laragon\www\equizzy\src\js\crudQuestionPolls\questionManager.js                                        | JavaScript |         38 |         10 |         27 |         75 |
| c:\laragon\www\equizzy\src\js\indexPollsCarrousel.js                                                      | JavaScript |         21 |          0 |          3 |         24 |
| c:\laragon\www\equizzy\src\js\navbarHome.js                                                               | JavaScript |         13 |          1 |          2 |         16 |
| c:\laragon\www\equizzy\src\js\navbarPollsResponsive.js                                                    | JavaScript |          7 |          0 |          3 |         10 |
| c:\laragon\www\equizzy\src\js\polls\changePollVisibility.js                                               | JavaScript |         35 |          2 |         17 |         54 |
| c:\laragon\www\equizzy\src\js\polls\menuOptionsMyPolls.js                                                 | JavaScript |         11 |          0 |          5 |         16 |
| c:\laragon\www\equizzy\src\js\polls\textAreaCounter.js                                                    | JavaScript |         15 |          0 |          5 |         20 |
| c:\laragon\www\equizzy\src\js\principalPollsCarrousel.js                                                  | JavaScript |         25 |          0 |          1 |         26 |
| c:\laragon\www\equizzy\src\scss\admin\_index.scss                                                         | SCSS       |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\scss\admin\_indexCards.scss                                                    | SCSS       |         49 |          1 |         10 |         60 |
| c:\laragon\www\equizzy\src\scss\app.scss                                                                  | SCSS       |          4 |          1 |          1 |          6 |
| c:\laragon\www\equizzy\src\scss\base\_globals.scss                                                        | SCSS       |         91 |          3 |         11 |        105 |
| c:\laragon\www\equizzy\src\scss\base\_index.scss                                                          | SCSS       |          5 |          0 |          0 |          5 |
| c:\laragon\www\equizzy\src\scss\base\_mixins.scss                                                         | SCSS       |         53 |          1 |          7 |         61 |
| c:\laragon\www\equizzy\src\scss\base\_normalize.scss                                                      | SCSS       |        146 |        129 |         75 |        350 |
| c:\laragon\www\equizzy\src\scss\base\_typography.scss                                                     | SCSS       |         21 |          0 |          3 |         24 |
| c:\laragon\www\equizzy\src\scss\base\_variables.scss                                                      | SCSS       |         24 |         11 |          8 |         43 |
| c:\laragon\www\equizzy\src\scss\components\_404.scss                                                      | SCSS       |         20 |          0 |          3 |         23 |
| c:\laragon\www\equizzy\src\scss\components\_alerts.scss                                                   | SCSS       |         22 |          0 |          3 |         25 |
| c:\laragon\www\equizzy\src\scss\components\_footer.scss                                                   | SCSS       |          6 |          0 |          1 |          7 |
| c:\laragon\www\equizzy\src\scss\components\_forms.scss                                                    | SCSS       |         97 |          0 |         19 |        116 |
| c:\laragon\www\equizzy\src\scss\components\_glide.core.min.scss                                           | SCSS       |         57 |          0 |          2 |         59 |
| c:\laragon\www\equizzy\src\scss\components\_glide.theme.min.scss                                          | SCSS       |         82 |          0 |          1 |         83 |
| c:\laragon\www\equizzy\src\scss\components\_hero.scss                                                     | SCSS       |         62 |          0 |         11 |         73 |
| c:\laragon\www\equizzy\src\scss\components\_index.scss                                                    | SCSS       |         10 |          0 |          0 |         10 |
| c:\laragon\www\equizzy\src\scss\components\_logo.scss                                                     | SCSS       |          8 |          0 |          2 |         10 |
| c:\laragon\www\equizzy\src\scss\components\_navbar.scss                                                   | SCSS       |         64 |          0 |         11 |         75 |
| c:\laragon\www\equizzy\src\scss\components\_scrollbar.scss                                                | SCSS       |          7 |          0 |          2 |          9 |
| c:\laragon\www\equizzy\src\scss\indexPages\_about.scss                                                    | SCSS       |         41 |          0 |          9 |         50 |
| c:\laragon\www\equizzy\src\scss\indexPages\_cards-section.scss                                            | SCSS       |         32 |          0 |          6 |         38 |
| c:\laragon\www\equizzy\src\scss\indexPages\_carrousel.scss                                                | SCSS       |         43 |          0 |          8 |         51 |
| c:\laragon\www\equizzy\src\scss\indexPages\_index.scss                                                    | SCSS       |          5 |          0 |          0 |          5 |
| c:\laragon\www\equizzy\src\scss\indexPages\categoriesPolls\_categories.scss                               | SCSS       |         39 |          0 |          9 |         48 |
| c:\laragon\www\equizzy\src\scss\indexPages\categoriesPolls\_index.scss                                    | SCSS       |          2 |          0 |          0 |          2 |
| c:\laragon\www\equizzy\src\scss\indexPages\categoriesPolls\_pollsByCategory.scss                          | SCSS       |         51 |          0 |         11 |         62 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\_index.scss                                | SCSS       |          6 |          0 |          1 |          7 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\_pollsLayout.scss                          | SCSS       |        115 |          3 |         25 |        143 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\_profile.scss                              | SCSS       |         23 |          0 |          6 |         29 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\editPolls\_editPolls.scss                  | SCSS       |         70 |          0 |         16 |         86 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\editPolls\_index.scss                      | SCSS       |          2 |          0 |          0 |          2 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\editPolls\_question.scss                   | SCSS       |        165 |          0 |         36 |        201 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\listMyPolls\_index.scss                    | SCSS       |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\listMyPolls\_listMyPolls.scss              | SCSS       |         96 |          0 |         16 |        112 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\principalListPolls\_createPollSection.scss | SCSS       |         23 |          0 |          5 |         28 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\principalListPolls\_index.scss             | SCSS       |          1 |          0 |          0 |          1 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\publicPolls\_answersPoll.scss              | SCSS       |         53 |          0 |         10 |         63 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\publicPolls\_index.scss                    | SCSS       |          2 |          0 |          0 |          2 |
| c:\laragon\www\equizzy\src\scss\indexPages\principalPagesPolls\publicPolls\_respondPoll.scss              | SCSS       |         99 |          0 |         18 |        117 |
| c:\laragon\www\equizzy\views\404.php                                                                      | PHP        |         44 |          0 |          6 |         50 |
| c:\laragon\www\equizzy\views\admin\index.php                                                              | PHP        |         25 |          0 |          0 |         25 |
| c:\laragon\www\equizzy\views\categoryPolls\create.php                                                     | PHP        |         22 |          0 |          0 |         22 |
| c:\laragon\www\equizzy\views\categoryPolls\list.php                                                       | PHP        |         20 |          0 |          4 |         24 |
| c:\laragon\www\equizzy\views\categoryPolls\pollsByCategory.php                                            | PHP        |         17 |          0 |          1 |         18 |
| c:\laragon\www\equizzy\views\index.php                                                                    | PHP        |         96 |          0 |          7 |        103 |
| c:\laragon\www\equizzy\views\layouts\layout.php                                                           | PHP        |         61 |          0 |          8 |         69 |
| c:\laragon\www\equizzy\views\layouts\layoutAdmin.php                                                      | PHP        |         51 |          0 |          5 |         56 |
| c:\laragon\www\equizzy\views\layouts\layoutLogin.php                                                      | PHP        |         44 |          0 |          6 |         50 |
| c:\laragon\www\equizzy\views\layouts\layoutPolls.php                                                      | PHP        |         54 |          0 |          5 |         59 |
| c:\laragon\www\equizzy\views\login.php                                                                    | PHP        |         34 |          0 |          0 |         34 |
| c:\laragon\www\equizzy\views\polls\create.php                                                             | PHP        |         63 |          0 |          6 |         69 |
| c:\laragon\www\equizzy\views\polls\edit.php                                                               | PHP        |         70 |          0 |         12 |         82 |
| c:\laragon\www\equizzy\views\polls\editInfo.php                                                           | PHP        |         68 |          0 |          7 |         75 |
| c:\laragon\www\equizzy\views\polls\list.php                                                               | PHP        |        270 |          0 |          8 |        278 |
| c:\laragon\www\equizzy\views\polls\listMyPolls.php                                                        | PHP        |         49 |          0 |          7 |         56 |
| c:\laragon\www\equizzy\views\principalPages\changePassword.php                                            | PHP        |         23 |          0 |          0 |         23 |
| c:\laragon\www\equizzy\views\principalPages\profile.php                                                   | PHP        |         20 |          0 |          0 |         20 |
| c:\laragon\www\equizzy\views\publicPolls\answer.php                                                       | PHP        |         29 |          0 |          6 |         35 |
| c:\laragon\www\equizzy\views\publicPolls\respond.php                                                      | PHP        |         27 |          0 |          5 |         32 |
| c:\laragon\www\equizzy\views\register.php                                                                 | PHP        |         62 |          0 |          0 |         62 |
| c:\laragon\www\equizzy\views\templates\alerts.php                                                         | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\equizzy\views\templates\navbar.php                                                         | PHP        |         10 |          0 |          0 |         10 |
| Total                                                                                                     |            |     22,494 |        504 |      1,631 |     24,629 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
